itemCode,dscription,codeBars,mnfctrCode,salesItem,purchItem,returnItem,classCode,uom1,uom2,uom3,length,length1,width,width1,height,height1,weight1,weight2,lstSalDate,lstPurDate,regDate,locked,objType,auditDate,auditUser,backupSts,uom4,isFocus,isTM,isNPL,longdesc,forCod
YR03003,Yuri,BLE123590,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR03004,Yuri,BLE123592,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR04001,Yuri,BIO112160 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR04002,Yuri,BIO112290 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR04003,Yuri,BIO112590,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR05001,Yuri,GLA178990 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR05002,Yuri,GLA178992 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR05003,Yuri,GLA178993 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR05004,Yuri,GLA178280 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR05005,Yuri,GLA178282 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR05006,Yuri,GLA178283,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR05007,Yuri,GLA178590,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR05008,Yuri,GLA178592,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR05009,Yuri,GLA178593,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR05010,Yuri,GLA178271,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,5/5/2023,5/5/2023,5/5/2023,N,2023,5/5/23 0:00,admin,Y,600,,N,N, ,N
YR05011,Yuri,GLA178272,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,5/5/2023,5/5/2023,5/5/2023,N,2023,5/5/23 0:00,admin,Y,600,,N,N, ,N
YR05012,Yuri,GLA178273,0,Y,Y,Y,2,1,6,1,0,0,0,0,0,0,0,0,5/5/2023,5/5/2023,5/5/2023,N,2023,5/5/23 0:00,admin,Y,600,,N,N, ,N
YR06001,Yuri,HSR222991 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06002,Yuri,HSR222993 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06003,Yuri,HSR222994 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06004,Yuri,HSR222995 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06005,Yuri,HSR222996 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06006,Yuri,HSP222381 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06007,Yuri,HSP222383 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06008,Yuri,HSP222384 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06009,Yuri,HSP222385 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06010,Yuri,HSP222386 ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06011,Yuri,HSR222591,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR06012,Yuri,HSR222593,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR06013,Yuri,HSR222594,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR06014,Yuri,HSR222595,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR06015,Yuri,HSR222596,0,Y,Y,Y,2,1,4,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,400,,N,N, ,N
YR06016,Yuri,HSA981993A ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06017,Yuri,HSA981994A ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06018,Yuri,HSA981995A ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR06019,Yuri,HSA981283A ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06020,Yuri,HSA981284A,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR06021,Yuri,HSP223301A ,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR07001,Yuri,YHG827380B,0,Y,Y,Y,2,1,48,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,4800,,N,N, ,N
YR07002,Yuri,YHG827283A,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR08001,Yuri,LIG252911 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR08002,Yuri,LIG252912 ,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR08003,Yuri,LIG252915,0,Y,Y,Y,2,1,24,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,2400,,N,N, ,N
YR08004,Yuri,LIG252921B,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR08005,Yuri,LIG252922B,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
YR08006,Yuri,LIG252925B,0,Y,Y,Y,2,1,12,1,0,0,0,0,0,0,0,0,2/3/2023,2/3/2023,2/3/2023,N,2023,2/3/23 0:00,admin,Y,1200,,N,N, ,N
